date,temp_max,temp_min,precipitation,crop,price_vnd,source,is_synthetic
2024-04-27,35.1,21.1,0.0,Sầu riêng Ri6,85000.0,AI_Synthetic,True
2024-04-28,34.0,21.0,0.1,Sầu riêng Ri6,91000.0,AI_Synthetic,True
2024-04-29,35.3,20.6,0.2,Sầu riêng Ri6,78000.0,AI_Synthetic,True
2024-04-30,35.0,19.6,0.4,Sầu riêng Ri6,97000.0,AI_Synthetic,True
2024-05-01,34.4,22.0,1.0,Sầu riêng Ri6,85000.0,AI_Synthetic,True
2024-05-02,34.5,22.2,9.6,Sầu riêng Ri6,91000.0,AI_Synthetic,True
2024-05-03,35.0,21.6,0.6,Sầu riêng Ri6,98000.0,AI_Synthetic,True
2024-05-04,32.8,21.5,11.2,Sầu riêng Ri6,98000.0,AI_Synthetic,True
2024-05-05,29.8,21.0,5.0,Sầu riêng Ri6,80000.0,AI_Synthetic,True
2024-05-06,29.7,20.6,0.0,Sầu riêng Ri6,77000.0,AI_Synthetic,True
2024-05-07,29.5,18.4,11.8,Sầu riêng Ri6,88000.0,AI_Synthetic,True
2024-05-08,30.8,18.2,0.9,Sầu riêng Ri6,94000.0,AI_Synthetic,True
2024-05-09,31.0,20.9,10.4,Sầu riêng Ri6,84000.0,AI_Synthetic,True
2024-05-10,31.6,19.9,0.3,Sầu riêng Ri6,80000.0,AI_Synthetic,True
2024-05-11,31.1,20.0,1.9,Sầu riêng Ri6,82000.0,AI_Synthetic,True
2024-05-12,32.0,19.8,0.5,Sầu riêng Ri6,91000.0,AI_Synthetic,True
2024-05-13,33.0,20.8,0.5,Sầu riêng Ri6,87000.0,AI_Synthetic,True
2024-05-14,32.2,20.5,1.2,Sầu riêng Ri6,93000.0,AI_Synthetic,True
2024-05-15,30.8,20.2,12.5,Sầu riêng Ri6,90000.0,AI_Synthetic,True
2024-05-16,30.6,20.2,5.1,Sầu riêng Ri6,89000.0,AI_Synthetic,True
2024-05-17,30.0,20.0,4.8,Sầu riêng Ri6,78000.0,AI_Synthetic,True
2024-05-18,29.8,20.2,4.6,Sầu riêng Ri6,81000.0,AI_Synthetic,True
2024-05-19,29.0,20.3,2.3,Sầu riêng Ri6,85000.0,AI_Synthetic,True
2024-05-20,28.6,20.7,6.7,Sầu riêng Ri6,83000.0,AI_Synthetic,True
2024-05-21,27.8,21.5,2.4,Sầu riêng Ri6,90000.0,AI_Synthetic,True
2024-05-22,29.2,20.8,6.2,Sầu riêng Ri6,87000.0,AI_Synthetic,True
2024-05-23,28.5,20.4,18.8,Sầu riêng Ri6,82000.0,AI_Synthetic,True
2024-05-24,29.8,19.6,1.1,Sầu riêng Ri6,74000.0,AI_Synthetic,True
2024-05-25,30.4,20.2,0.3,Sầu riêng Ri6,86000.0,AI_Synthetic,True
2024-05-26,29.8,21.8,0.8,Sầu riêng Ri6,86000.0,AI_Synthetic,True
2024-05-27,29.4,21.7,1.7,Sầu riêng Ri6,75000.0,AI_Synthetic,True
2024-05-28,29.3,21.8,2.2,Sầu riêng Ri6,82000.0,AI_Synthetic,True
2024-05-29,27.8,21.0,11.8,Sầu riêng Ri6,78000.0,AI_Synthetic,True
2024-05-30,27.2,21.2,7.7,Sầu riêng Ri6,83000.0,AI_Synthetic,True
2024-05-31,27.5,20.4,0.7,Sầu riêng Ri6,91000.0,AI_Synthetic,True
2024-06-01,28.1,20.0,0.1,Sầu riêng Ri6,62000.0,AI_Synthetic,True
2024-06-02,30.0,21.1,1.5,Sầu riêng Ri6,50000.0,AI_Synthetic,True
2024-06-03,29.9,20.0,1.3,Sầu riêng Ri6,48000.0,AI_Synthetic,True
2024-06-04,30.2,19.4,5.4,Sầu riêng Ri6,64000.0,AI_Synthetic,True
2024-06-05,28.1,21.0,7.5,Sầu riêng Ri6,52000.0,AI_Synthetic,True
2024-06-06,29.0,20.7,5.2,Sầu riêng Ri6,60000.0,AI_Synthetic,True
2024-06-07,27.8,20.1,2.2,Sầu riêng Ri6,51000.0,AI_Synthetic,True
2024-06-08,28.3,20.3,9.3,Sầu riêng Ri6,54000.0,AI_Synthetic,True
2024-06-09,27.1,20.4,3.3,Sầu riêng Ri6,60000.0,AI_Synthetic,True
2024-06-10,26.2,19.8,9.5,Sầu riêng Ri6,48000.0,AI_Synthetic,True
2024-06-11,27.2,18.5,0.3,Sầu riêng Ri6,60000.0,AI_Synthetic,True
